,ID,region,field,M05_age_opt,M05_AV_opt,M13_age_opt,M13_AV_opt,BC_age_opt,BC_AV_opt,x2_spectra_M05_opt,x2_photo_M05_opt,x2_spectra_M13_opt,x2_photo_M13_opt,x2_spectra_BC_opt,x2_photo_BC_opt,M05_age_MCMC50,M05_age_std,M05_AV_MCMC50,M05_AV_std,M13_age_MCMC50,M13_age_std,M13_AV_MCMC50,M13_AV_std,BC_age_MCMC50,BC_age_std,BC_AV_MCMC50,BC_AV_std,x2_spectra_M05_MCMC50,x2_photo_M05_MCMC50,x2_spectra_M13_MCMC50,x2_photo_M13_MCMC50,x2_spectra_BC_MCMC50,x2_photo_BC_MCMC50,x2_M05_opt,x2_M13_opt,x2_BC_opt,x2_M05_MCMC50,x2_M13_MCMC50,x2_BC_MCMC50,min_2,model,grism_index,grism_index_AV_corr,age_opt,age_opt_std,AV_opt,AV_opt_std,M_K,BC_ML,BC_mass,M05_ML,M05_mass,M13_mass,best_mass,radius,use_phot,z_best,z_type,z_spec,u,g,r,i,z,U,V,J,H,B,K,Mr,color,FAST_mass,SFR,sSFR,ltau,SNR_F160W,SNR_F140W,SNR_F125W,SNR_F606W,F160W_mag,F140W_mag,F125W_mag,F606W_mag,flux_ratio_AV_corr,SNR1,SNR2,flux_ratio_err_AV_corr,flux_ratio_err_AV_corr_2,model_ratio,model_ratio_unattenuated,model_ratio_smoothed,model_ratio_smoothed_unattenuated,fig_name,FWHM,ratio_err
54,24951.0,2.0,uds,2.250806376,0.7776404412000001,1.3437805930000002,1.074866077,2.350004593,0.7685563959999999,8.187389968,3.11747409,4.772257521,2.352109844,4.825031372,2.1460380519999998,2.60260454,0.9821063051000001,0.7773470719,0.03826829391,0.9718348642,0.85827101,1.1757129259999999,0.5972282511,2.640149567,1.0290823279999999,0.721883299,0.2087094162,8.596622325,3.608630765,11.34950632,1.463917144,6.400305593,2.645992859,2.94168129,1.9466475419999998,1.8675315819999998,3.2341346360000003,2.838617273,2.390216145,1.8675315819999998,3.0,1.092701546,1.119242799,2.350004593,1.0290823279999999,0.7685563959999999,0.2087094162,-23.6562222937745,0.57182,178545232710.008,0.39832,124371545404.236,124371545404.236,124371545404.236,-1.0,1.0,0.325,1.0,0.325,21.6994524780925,20.0316321777193,19.229854172173397,18.843529631756102,18.4838020553699,21.6384348459432,19.555646663179502,18.010850781743898,17.7189346692517,20.342738932314,18.028728852825502,-21.6201458278266,2.46959830591912,10.73,-4.09,-14.83,8.2,942.145349703661,1341.34791193167,2033.09267185832,899.827994597777,18.1002829999029,18.2162882525506,18.387097657349397,20.270417930049398,1.11942251431494,56.991332818282395,119.589421558967,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
55,13976.0,14.0,uds,1.272818819,0.46740289409999997,1.02173767,0.8693289888,3.2498914539999997,0.2965509789,5.768955559,0.7620489431999999,3.525222836,1.240823595,3.8298803230000003,3.25863395,1.6962234280000001,0.5594187159,0.4975213321,0.05519840962,1.219768403,0.4451928342,0.8192158356999999,0.17509682010000002,3.178641902,1.5494617080000002,0.3075827505,0.2086837034,4.819114007,2.084462334,2.7536216380000003,1.796449729,3.800882548,3.279105673,1.450649094,1.222594109,2.156777075,1.839680186,1.313716653,2.160024029,1.222594109,2.0,1.101481152,1.117576304,1.02173767,0.4451928342,0.8693289888,0.17509682010000002,-22.827355468678302,0.31829,46319640675.1395,0.18742999999999999,27276038366.714,47917218837.6031,47917218837.6031,-1.0,1.0,0.3499,1.0,0.3499,22.3798962279304,20.841122224126803,20.102364305524002,19.7381081137342,19.4327272875863,22.3171252150234,20.3838201060727,18.986446257403397,18.7201045329688,21.1210151858431,19.048779959421697,-20.917635694475997,2.27753192240634,10.37,-1.41,-11.78,8.6,862.821781813358,835.773641116779,1336.0173814274299,858.254909689536,19.076316668631602,19.190923735119604,19.369159052024397,21.0790357872303,1.13011294420536,39.1062263345684,74.0797232480807,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
56,14700.0,14.0,uds,1.4050675,0.5818219008,1.249969831,0.8953267768000001,1.6900006580000002,0.8047890206,7.560871324,0.7731052488,6.59961238,1.469550036,7.874031116,1.3838240259999999,1.906736886,0.4877397272,0.5758259705,0.0379829219,1.627548503,0.5093824565999999,0.7901654270999999,0.1634136944,1.3251256679999999,0.7328981767,0.8968954074,0.39819648700000004,5.96818969,2.305102,5.090170108,2.846928328,20.62393638,1.222410347,1.803388485,1.918750481,2.12903523,2.158482365,2.222956842,4.534747731,1.803388485,1.0,1.137832493,1.157546277,1.4050675,0.4877397272,0.5818219008,0.0379829219,-23.9869131901894,0.36965,156515007587.037,0.31651999999999997,134019018534.963,189913534976.585,189913534976.585,-1.0,1.0,0.4461,1.0,0.44611999999999996,21.852323991228598,20.2932149050701,19.5158530350589,19.137988110612604,18.791391946567,21.7850777347992,19.8258667510669,18.351669215936898,18.0726270875907,20.5947860039599,18.4623538366106,-22.0541469649411,2.33647095616962,10.81,-0.8,-11.61,8.4,677.951881166611,997.071858022456,1599.19607167854,706.412294015612,18.5307624798732,18.658242804305,18.851907634266396,20.8523110420968,1.16657168386713,45.108110842887,92.5233605333128,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
57,30019.0,19.0,uds,1.241653665,0.6194662052000001,1.0291369000000001,1.0348027229999999,3.3750012560000004,0.4098575947,8.060112193,0.8462666906,6.3499738720000005,2.091902079,9.118821577,4.945374234,1.548695685,0.5097367755,0.6489458285,0.05091605595,1.155276172,0.6179468734,0.997597792,0.5776310574,2.9743936730000002,1.615020098,0.4857868581,0.2198760688,9.4036821,2.740495357,5.480400382000001,2.617390374,9.258999351,4.705241625,1.932055017,2.140160784,3.915213151,3.014377185,2.199190268,3.838298308,1.932055017,1.0,1.103393904,1.124745767,1.241653665,0.5097367755,0.6194662052000001,0.05091605595,-24.2339799600129,0.31829,169205695823.407,0.18742999999999999,99639396676.5568,175041650521.498,175041650521.498,-1.0,1.0,0.4355,2.0,-1.0,21.734940524822,20.172100592369798,19.396320581123103,19.021819569025396,18.6827244849969,21.6721760847416,19.7316951955918,18.218918749796604,17.9166333107338,20.4689834826728,18.2879718429871,-22.113679418876902,2.33861994369892,10.87,-0.91,-11.78,8.6,889.996839847037,1163.5671014285,1658.1442694736,697.051057982962,18.3757259337305,18.5232465152307,18.7410750511918,20.7368083951082,1.13613514560142,50.4359513260277,98.73641870813151,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
58,31083.0,19.0,uds,1.274239041,0.07950587985,0.9932520005,0.4951055071,1.233874417,0.3521605082,6.169684948,0.7626507932,4.884266512,1.4283293609999999,6.086840717,1.010547678,1.74804059,0.5180477707,0.1015907299,0.04532559087,1.074447368,0.4387258235,0.4759325599,0.2260081738,1.446137351,0.5029794178,0.3602179635,0.2925777349,4.53921598,2.720606386,4.476175327,1.702608243,4.618586004,2.335203244,1.5287216190000001,1.5677982119999998,1.620136178,2.061195778,1.607498611,1.909476842,1.5287216190000001,1.0,1.0821025690000001,1.084764122,1.274239041,0.5180477707,0.07950587985,0.04532559087,-22.9581775364574,0.41778999999999994,68584986155.9088,0.18742999999999999,30768768891.5531,54053078109.0041,54053078109.0041,-1.0,1.0,0.43,1.0,0.43,21.8682253498995,20.4327569040308,19.8101750163848,19.540224665489898,19.267549924144898,21.792521922790602,20.0813079101211,18.8932402155524,18.645013449664,20.6782047204527,19.014453223942603,-21.669824983615197,2.05805033351474,10.37,-99.0,-99.0,7.0,887.074483647635,868.792578728625,1251.7846481455902,755.477359296268,19.0271663952023,19.1392456490518,19.300488919644497,20.8857218401274,1.09848256268633,30.3161370144304,73.587312668428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
59,32850.0,20.0,uds,1.183358562,0.1790279111,0.9500037357,0.5831133719,1.6900005619999998,0.44878474630000004,2.1413272969999997,0.3732370327,2.479828206,0.9801734149,2.168243747,1.586865067,1.3943276080000002,0.49269656289999997,0.2142867168,0.1024679001,1.010175526,0.44730462270000004,0.6347610369,0.2697971711,1.610408021,0.7400142987,0.4360453237,0.3610679921,2.047540618,0.8824235378,2.133896035,1.252047493,2.326003032,1.524987844,0.5776464491,0.906573559,1.109164373,0.7802448559,0.9573008234,1.112964103,0.5776464491,1.0,1.180207905,1.186779716,1.183358562,0.49269656289999997,0.1790279111,0.1024679001,-21.132097832855802,0.36965,11288333812.9734,0.18742999999999999,5723718129.488971,5723718129.488971,5723718129.488971,-1.0,1.0,0.4288,1.0,0.4288,23.3864541523387,21.959169510023,21.3192427285625,20.9984198129026,20.6878077240234,23.305576683496,21.5886225116151,20.3228451111819,20.0723847174527,22.208015898319697,20.494831657244198,-20.1607572714375,2.06721142377621,9.96,-1.13,-11.09,8.6,220.808006334147,299.14091208330797,462.245180058905,246.634203287177,20.463418612460398,20.5549812036054,20.7275872888926,22.429675549223102,1.1233338161818,32.1633576888968,23.954998020026,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
60,39073.0,23.0,uds,0.9978156541,0.1379494248,0.1594980951,1.7881306209999999,1.008094597,0.941837244,4.632275315,2.475717231,3.475687773,1.908813759,2.729986614,5.0419570039999995,1.121234094,0.4372212864,0.20963662379999998,0.09170977152999998,,,,,1.01979337,0.5506056029,0.7826782834999999,0.4322980575,5.236708366,2.648961737,,,11.41617225,6.828694721000001,1.97306904,1.502650482,2.7165459210000003,2.165562394,,5.178005121,1.502650482,2.0,1.149997875,1.154948316,0.1594980951,,1.7881306209999999,,-21.5852331032983,0.21495999999999998,9964394073.28245,0.29738,13784943754.7113,14917244120.437,14917244120.437,-1.0,1.0,0.2693,2.0,-1.0,23.4576617575498,22.0621631033529,21.4656695839505,21.1471725237135,20.9083540722083,23.3753879836662,21.692896655499503,20.5514110376845,20.3410995751808,22.303404904075798,20.6313772547017,-18.9643304160495,1.9919921735993,9.19,-1.53,-10.72,8.2,355.87933380665,290.808878872169,476.46824757672493,404.38170847005205,20.5518978342932,20.6471812816228,20.772158140107397,22.0934116513053,1.21294553585147,23.6809342446906,24.5918178486264,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
61,12505.0,28.0,uds,1.180009807,0.32460789739999996,0.9980609128,0.7541325812,2.875023438,0.22509300780000002,2.9222902619999997,0.6036259965999999,1.891075951,1.1965898259999999,2.387337075,2.6797653980000002,1.337955725,0.5136918688000001,0.3565946763,0.08568433405999999,0.9571490264,0.5519137013000001,0.7971417037,0.3657257728,2.573418827,1.2614516820000001,0.30544470739999996,0.1930141552,2.6965123369999997,0.9727259920999999,2.846360474,1.347200907,2.7923786919999998,2.114967541,0.8291982273,0.8861020005,1.625644464,0.9454185626999999,1.1369068390000001,1.459367972,0.8291982273,1.0,1.099481998,1.110498578,1.180009807,0.5136918688000001,0.32460789739999996,0.08568433405999999,-21.851458258442804,0.41778999999999994,24748070475.8309,0.18742999999999999,11102541586.1677,19504405576.992,19504405576.992,-1.0,1.0,0.3336,1.0,0.3336,23.0878828387163,21.608339016185496,20.8970462307941,20.550352478591,20.262354322270898,23.016820014425303,21.169401141874,19.844908941189498,19.577821222470103,21.8783751403136,19.901018600757197,-20.0129537692059,2.19083660792221,10.01,-1.27,-11.28,8.8,301.254264054702,550.256394575762,544.219980302206,576.2156350421959,19.926371508659,20.0210925951366,20.1894238336245,21.7925246390727,1.1247920750449,32.6141115014039,42.0510890313739,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1163509820076374,0.01406348506157389,1.087664835353155,1.1140730089996487,1.078156171405252,1.1042948299543323,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_uds_2_24951_2D.pdf,9.08,0.018535911512133824
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1252576286638927,0.012602816580740313,1.1288572338876508,1.1598943437365208,1.090098360179225,1.1204248326987827,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_uds_14_13976_2D.pdf,5.94,0.02332968887751583
