,ID,region,field,M05_age_opt,M05_AV_opt,M13_age_opt,M13_AV_opt,BC_age_opt,BC_AV_opt,x2_spectra_M05_opt,x2_photo_M05_opt,x2_spectra_M13_opt,x2_photo_M13_opt,x2_spectra_BC_opt,x2_photo_BC_opt,M05_age_MCMC50,M05_age_std,M05_AV_MCMC50,M05_AV_std,M13_age_MCMC50,M13_age_std,M13_AV_MCMC50,M13_AV_std,BC_age_MCMC50,BC_age_std,BC_AV_MCMC50,BC_AV_std,x2_spectra_M05_MCMC50,x2_photo_M05_MCMC50,x2_spectra_M13_MCMC50,x2_photo_M13_MCMC50,x2_spectra_BC_MCMC50,x2_photo_BC_MCMC50,x2_M05_opt,x2_M13_opt,x2_BC_opt,x2_M05_MCMC50,x2_M13_MCMC50,x2_BC_MCMC50,min_2,model,min_spec_chi2,model_spec,grism_index,grism_index_AV_corr,age_opt,age_opt_std,AV_opt,AV_opt_std,M_K,BC_ML,BC_mass,M05_ML,M05_mass,M13_mass,best_mass,radius,use_phot,z_best,z_type,z_spec,u,g,r,i,z,U,V,J,H,B,K,Mr,color,FAST_mass,SFR,sSFR,ltau,SNR_F160W,SNR_F140W,SNR_F125W,SNR_F606W,F160W_mag,F140W_mag,F125W_mag,F606W_mag,SNR1,SNR2,flux_ratio_AV_corr,flux_ratio_AV_corr_2,flux_ratio_err_AV_corr,model_ratio,model_ratio_unattenuated,model_ratio_smoothed,model_ratio_smoothed_unattenuated,fig_name,FWHM,ratio_err
19,14860,3,cosmos,2.6441,0.0128,1.4033,0.2865,1.9500,0.0838,1.6956,0.7939,1.8231,0.9712,1.8404,1.0617,2.8184,1.0077,0.0190,0.0111,1.5503,0.5926,0.2334,0.1855,1.8923,0.4285,0.1201,0.0758,1.6489,0.8321,1.9250,0.9812,1.7270,1.3279,0.6735,0.7752,0.8178,0.6810,0.7993,0.9112,0.6735,1,1.6489,1,1.1151,1.1156,2.6441,1.0077,0.0128,0.0111,-21.5198,0.5063,22095555928.5050,0.3165,13813868536.1666,19575136678.9842,19575136678.9842,6.2510,1.0000,0.3764,2.0000,-1.0000,22.9438,21.4397,20.7494,20.4375,20.1742,22.8731,21.0112,19.7754,19.5697,21.7127,19.9444,-20.4306,2.1944,10.0800,-8.5600,-18.6400,8.0000,355.8286,610.9240,887.2613,400.4005,19.8952,20.0138,20.1468,21.8317,55.6612,34.6648,1.1144,1.1146,0.0128,1.1163,1.1167,1.1134,1.1139,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_cosmos_3_14860_2D.pdf,5.3800,0.0128
28,25830,11,cosmos,1.3263,0.2733,0.9506,0.6646,1.8000,0.4170,1.7985,0.1886,1.5552,0.3875,1.5008,0.4939,1.6060,0.6158,0.2650,0.1226,1.0381,0.4489,0.6761,0.2548,1.8569,0.8280,0.4109,0.3402,1.8921,0.4873,1.6330,0.4064,1.5685,0.5360,0.4310,0.4700,0.5056,0.5787,0.4933,0.5370,0.4310,1,1.5008,3,1.0712,1.0805,1.3263,0.6158,0.2733,0.1226,-21.7405,0.4178,22344676179.4677,0.1874,10024324795.5136,17610246710.6078,17610246710.6078,8.3640,1.0000,0.3861,2.0000,-1.0000,23.1825,21.6511,20.9261,20.5836,20.3108,23.1143,21.2036,19.9473,19.7618,21.9383,20.1631,-20.3139,2.2564,10.0400,-2.4600,-12.4900,8.4000,209.9161,538.2427,617.9776,208.5595,20.0723,20.1864,20.3329,22.0816,25.6912,22.0423,1.0793,1.0795,0.0199,1.1908,1.2010,1.1661,1.1762,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_cosmos_11_25830_2D.pdf,4.6000,0.0199
30,25830,15,cosmos,1.2516,0.3414,0.9039,0.8159,2.1500,0.3838,1.9146,0.2603,1.9738,0.5208,1.9803,0.5973,1.4079,0.5792,0.3703,0.1241,1.0350,0.4146,0.7932,0.2258,2.4058,0.9907,0.3471,0.2813,1.9610,0.3817,1.7623,0.9273,1.8526,0.8229,0.4846,0.6091,0.6435,0.5463,0.7443,0.7166,0.4846,1,1.7623,2,1.1345,1.1467,1.2516,0.5792,0.3414,0.1241,-21.8268,0.4178,24191681581.4404,0.1874,10852933001.7697,19065905344.6072,19065905344.6072,8.3640,1.0000,0.3861,2.0000,-1.0000,23.1825,21.6511,20.9261,20.5836,20.3108,23.1143,21.2036,19.9473,19.7618,21.9383,20.1631,-20.3139,2.2564,10.0400,-2.4600,-12.4900,8.4000,209.9161,538.2427,617.9776,208.5595,20.0723,20.1864,20.3329,22.0816,20.3362,21.8728,1.1431,1.1432,0.0216,1.1921,1.2049,1.1658,1.1785,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_cosmos_15_25830_2D.pdf,4.6000,0.0216
33,12390,20,cosmos,1.1621,0.2017,0.9500,0.6335,1.3819,0.6823,1.1566,0.2533,0.9650,0.6142,0.9934,0.7919,1.3739,0.5545,0.2734,0.1182,1.0095,0.4708,0.6888,0.2827,1.2827,0.7737,0.6199,0.4961,1.0598,0.4872,1.0858,0.7971,1.3563,0.7818,0.3344,0.4537,0.5363,0.4170,0.5565,0.6024,0.3344,1,0.9650,2,1.0939,1.1008,1.1621,0.5545,0.2017,0.1182,-20.5462,0.4033,7180281703.8243,0.1699,3025431599.5931,5538835593.8462,5538835593.8462,8.6230,1.0000,0.2280,3.0000,-1.0000,23.1760,21.7971,21.1205,20.7917,20.5231,23.0975,21.3938,20.1355,19.9492,22.0471,20.2363,-18.9295,2.0554,9.4200,-0.6700,-10.1000,8.6000,280.9833,460.5383,499.9788,269.3018,20.1277,20.2369,20.3555,21.7798,22.4257,21.7524,1.0996,1.0997,0.0215,1.2018,1.2094,1.1668,1.1742,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_cosmos_20_12390_2D.pdf,7.9700,0.0215
34,12390,23,cosmos,1.2019,0.1935,0.9936,0.6232,1.3561,0.6760,2.1232,0.2588,1.4761,0.6090,1.4797,0.7653,1.3547,0.5692,0.2321,0.1034,0.7900,0.5511,0.7663,0.4042,1.4187,0.7415,0.5495,0.4645,2.0177,0.4156,1.5626,0.5262,3.4796,1.0079,0.5245,0.5507,0.6192,0.5720,0.5316,1.1127,0.5245,1,1.4761,2,1.0127,1.0189,1.2019,0.5692,0.1935,0.1034,-20.4367,0.4178,6724027041.3662,0.1874,3016549913.5050,5299328311.4152,5299328311.4152,8.6230,1.0000,0.2280,3.0000,-1.0000,23.1760,21.7971,21.1205,20.7917,20.5231,23.0975,21.3938,20.1355,19.9492,22.0471,20.2363,-18.9295,2.0554,9.4200,-0.6700,-10.1000,8.6000,280.9833,460.5383,499.9788,269.3018,20.1277,20.2369,20.3555,21.7798,28.5134,27.5670,1.0179,1.0181,0.0157,1.2001,1.2074,1.1660,1.1732,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_cosmos_23_12390_2D.pdf,7.9700,0.0157
44,18177,27,cosmos,1.1580,0.4081,0.9759,0.8473,2.1000,0.4881,3.4765,0.5578,1.9444,1.3646,2.0898,1.4721,1.1828,0.6548,0.4875,0.2844,1.0829,0.4295,0.8264,0.1696,2.0975,0.9863,0.5085,0.3439,12.8341,0.7550,1.8146,1.4761,2.5255,1.4511,0.9169,0.9693,1.0442,2.8195,0.9925,1.1197,0.9169,1,1.8146,2,1.0741,1.0877,1.1580,0.6548,0.4081,0.2844,-23.6402,0.3183,97923124302.2251,0.1874,57663549555.3302,101300521939.7120,101300521939.7120,14.2730,1.0000,0.3482,1.0000,0.3482,21.4461,19.9766,19.2265,18.8631,18.5569,21.3781,19.5281,18.1039,17.8647,20.2594,18.1912,-21.7835,2.2196,10.7100,0.0000,-10.7200,8.8000,753.2856,1163.8228,1831.5568,596.7174,18.2162,18.3367,18.4884,20.2652,62.8129,85.8872,1.0866,1.0866,0.0108,1.1943,1.2096,1.1335,1.1481,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_cosmos_27_18177_2D.pdf,8.9800,0.0108
49,13531,10,goodss,1.3639,0.0879,0.9997,0.4717,1.4340,0.4461,2.4915,0.5701,3.1852,0.7204,2.9550,0.7479,1.7651,0.5211,0.0966,0.0581,1.2137,0.4376,0.4153,0.2051,1.6242,0.6046,0.2983,0.3346,2.2195,1.3978,2.7736,1.0975,3.1131,0.7396,0.7310,0.9309,0.8981,1.0372,1.0145,0.9252,0.7310,1,2.2195,1,1.1552,1.1760,1.3639,0.5211,0.0879,0.0581,-22.3340,0.4178,38599065167.4965,0.1874,17316409642.0304,30420627040.5943,30420627040.5943,11.6330,1.0000,0.4150,1.0000,0.4150,22.4187,20.9658,20.3115,20.0126,19.7574,22.3373,20.5614,19.4241,19.2068,21.2218,19.5269,-21.0885,2.1073,10.2300,-0.6700,-10.9000,8.4000,414.1773,508.7548,877.7362,531.5756,19.5221,19.6319,19.7674,21.4663,27.0929,34.1906,1.1579,1.1581,0.0139,1.1957,1.1990,1.1574,1.1606,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_goodss_10_13531_2D.pdf,6.2300,0.0139
56,14700,14,uds,1.4051,0.5818,1.2500,0.8953,1.6900,0.8048,7.5609,0.7731,6.5996,1.4696,7.8740,1.3838,1.9067,0.4877,0.5758,0.0380,1.6275,0.5094,0.7902,0.1634,1.3251,0.7329,0.8969,0.3982,5.9682,2.3051,5.0902,2.8469,20.6239,1.2224,1.8034,1.9188,2.1290,2.1585,2.2230,4.5347,1.8034,1,5.0902,2,1.1378,1.1575,1.4051,0.4877,0.5818,0.0380,-23.9869,0.3697,156515007587.0370,0.3165,134019018534.9630,189913534976.5850,189913534976.5850,9.3780,1.0000,0.4461,1.0000,0.4461,21.8523,20.2932,19.5159,19.1380,18.7914,21.7851,19.8259,18.3517,18.0726,20.5948,18.4624,-22.0541,2.3365,10.8100,-0.8000,-11.6100,8.4000,677.9519,997.0719,1599.1961,706.4123,18.5308,18.6582,18.8519,20.8523,45.1081,92.5234,1.1562,1.1562,0.0058,1.1752,1.1967,1.1470,1.1671,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_uds_14_14700_2D.pdf,6.7500,0.0058
57,30019,19,uds,1.2417,0.6195,1.0291,1.0348,3.3750,0.4099,8.0601,0.8463,6.3500,2.0919,9.1188,4.9454,1.5487,0.5097,0.6489,0.0509,1.1553,0.6179,0.9976,0.5776,2.9744,1.6150,0.4858,0.2199,9.4037,2.7405,5.4804,2.6174,9.2590,4.7052,1.9321,2.1402,3.9152,3.0144,2.1992,3.8383,1.9321,1,5.4804,2,1.1034,1.1247,1.2417,0.5097,0.6195,0.0509,-24.2340,0.3183,169205695823.4070,0.1874,99639396676.5568,175041650521.4980,175041650521.4980,9.1660,1.0000,0.4355,2.0000,-1.0000,21.7349,20.1721,19.3963,19.0218,18.6827,21.6722,19.7317,18.2189,17.9166,20.4690,18.2880,-22.1137,2.3386,10.8700,-0.9100,-11.7800,8.6000,889.9968,1163.5671,1658.1443,697.0511,18.3757,18.5232,18.7411,20.7368,50.4360,98.7364,1.1234,1.1234,0.0049,1.1823,1.2054,1.1530,1.1755,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_uds_19_30019_2D.pdf,7.0900,0.0049
58,31083,19,uds,1.2742,0.0795,0.9933,0.4951,1.2339,0.3522,6.1697,0.7627,4.8843,1.4283,6.0868,1.0105,1.7480,0.5180,0.1016,0.0453,1.0744,0.4387,0.4759,0.2260,1.4461,0.5030,0.3602,0.2926,4.5392,2.7206,4.4762,1.7026,4.6186,2.3352,1.5287,1.5678,1.6201,2.0612,1.6075,1.9095,1.5287,1,4.4762,2,1.0821,1.0848,1.2742,0.5180,0.0795,0.0453,-22.9582,0.4178,68584986155.9088,0.1874,30768768891.5531,54053078109.0041,54053078109.0041,6.9950,1.0000,0.4300,1.0000,0.4300,21.8682,20.4328,19.8102,19.5402,19.2675,21.7925,20.0813,18.8932,18.6450,20.6782,19.0145,-21.6698,2.0581,10.3700,-99.0000,-99.0000,7.0000,887.0745,868.7926,1251.7846,755.4774,19.0272,19.1392,19.3005,20.8857,30.3161,73.5873,1.0834,1.0835,0.0064,1.2007,1.2037,1.1815,1.1844,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_uds_19_31083_2D.pdf,6.8300,0.0064
