,ID,region,field,M05_age_opt,M05_AV_opt,M13_age_opt,M13_AV_opt,BC_age_opt,BC_AV_opt,x2_spectra_M05_opt,x2_photo_M05_opt,x2_spectra_M13_opt,x2_photo_M13_opt,x2_spectra_BC_opt,x2_photo_BC_opt,M05_age_MCMC50,M05_age_std,M05_AV_MCMC50,M05_AV_std,M13_age_MCMC50,M13_age_std,M13_AV_MCMC50,M13_AV_std,BC_age_MCMC50,BC_age_std,BC_AV_MCMC50,BC_AV_std,x2_spectra_M05_MCMC50,x2_photo_M05_MCMC50,x2_spectra_M13_MCMC50,x2_photo_M13_MCMC50,x2_spectra_BC_MCMC50,x2_photo_BC_MCMC50,x2_M05_opt,x2_M13_opt,x2_BC_opt,x2_M05_MCMC50,x2_M13_MCMC50,x2_BC_MCMC50,min_2,model,grism_index,grism_index_AV_corr,age_opt,age_opt_std,AV_opt,AV_opt_std,M_K,BC_ML,BC_mass,M05_ML,M05_mass,M13_mass,best_mass,radius,use_phot,z_best,z_type,z_spec,u,g,r,i,z,U,V,J,H,B,K,Mr,color,FAST_mass,SFR,sSFR,ltau,SNR_F160W,SNR_F140W,SNR_F125W,SNR_F606W,F160W_mag,F140W_mag,F125W_mag,F606W_mag,flux_ratio_AV_corr,flux_ratio_err_AV_corr,SNR1,SNR2
0,26380,1,aegis,2.680621363,0.4187315595,1.073115954,0.7517556203,1.208604831,0.6280617842,14.4515701,2.093738766,15.24253781,0.9544739584,12.59579885,0.8510140921,3.387580625,1.232347443,0.3775348018,0.06453334052,1.034472917,0.6309493717,0.7669133072,0.4828924968,0.9123876468,0.6328542388,1.14278708,0.4408152805,15.96081966,2.11615743,15.24688494,0.997405559,19.36767601,2.737039042,3.714082748,3.373624995,2.81482959,4.016862798,3.393086443,4.947634448,2.81482959,3,1.099384731,1.114002854,1.208604831,0.6328542388,0.6280617842,0.4408152805,-21.60442334295040,0.31829,15017316413.227500,0.18743,8843179538.56934,15535268116.023300,15535268116.023300,15.57,1.0,0.264,2.0,-1.0,22.873303252848900,21.27029016490250,20.553543911377000,20.210373045518200,19.873692945738500,22.796231655951200,20.829869635191,19.484197115336200,19.191565476599500,21.564531877356400,19.51686144054960,-19.82645608862300,2.319759341471850,9.74,-99.0,-99.0,7.0,309.5031814726790,1170.736706013560,1428.9787433864800,565.8632074836310,19.553553226445400,19.65742536951560,19.790916524637400,21.31350591379190,1.1271768725750200,0.02251627199075460,45.87916372629590,54.52024113324710
1,14044,2,aegis,0.5999999948,0.5118285328,0.9976939066,0.8260331268,1.608101456,0.7042503067,7.817164895,1.246790801,5.733327348,2.835803619,4.977061021,3.686970134,0.3633070013,0.278198086,0.7736279224,0.4474107157,0.6467999449,0.5052850339,1.078675105,0.4161426135,1.757464305,0.7345310009,0.6151992061,0.3627727524,6.991757693,3.832452076,6.324253089,1.539867289,7.565663844,3.496633331,2.058568603,2.343017498,2.565279171,3.019570848,1.895775828,2.985380685,1.895775828,2,1.099384731,1.114002854,0.6467999449,0.5052850339,1.078675105,0.4161426135,-23.851860730682200,0.31829,119005569362.64800,0.18743,70078274107.38980,123110106791.1380,123110106791.1380,13.91,1.0,0.436,1.0,0.4616,21.687977368905600,20.20663409595060,19.492934922842000,19.2018027261957,18.86952537401700,21.61470007765910,19.762521471950000,18.419299759281900,18.206903775838,20.489377036991900,18.456471593517800,-22.01706507715800,2.1950424460635700,10.77,0.23,-10.54,8.6,717.671668535635,2231.579199403470,2415.4949872498000,621.6536380828870,18.576934907443200,18.716260485552700,18.895395075274900,20.73268946219230,1.1421768265865900,0.005581243958405770,79.08178696433430,97.74953921974540
2,17857,3,aegis,1.073986748,0.07223350727,0.9940375232,0.5355671476,1.278102097,0.5396775929,8.255288448,0.3848338647,6.012426088,1.090749684,5.248563074,1.648940097,1.310379314,0.4711734803,0.1432530537,0.05447826185,0.963941934,0.4751391397,0.5771654653,0.2512792358,1.270619775,0.6930585739,0.496533337,0.4535931317,7.757341103,0.8792453671,6.120634138,1.554633878,6.257135869,1.939238133,1.769852353,1.640466443,1.734203551,1.887565761,1.862641719,2.055931062,1.640466443,2,1.043043079,1.045394111,0.9940375232,0.4751391397,0.5355671476,0.2512792358,-21.120122388273600,0.41779,12618478614.928300,0.18743,5660933595.337400,9944853070.889710,9944853070.889710,13.03,1.0,0.2863,2.0,-1.0,22.929317219869800,21.526433542720200,20.90001699381330,20.582102910982600,20.320761246577500,22.8500284164652,21.14943291501100,19.977797262596700,19.74213336758960,21.781318684045000,20.060304295426400,-19.66998300618670,2.0293002260565200,9.72,-0.82,-10.54,8.6,210.03483439258,583.0623676617260,951.6334328355360,459.2063468422180,20.02946618946680,20.145524857650100,20.24575278079120,21.589857623237500,1.060939274769340,0.011802900437396900,34.80873255179160,38.59806958322940
3,19820,3,aegis,2.598997666,0.6730179072,1.022557547,1.044543604,1.414390349,1.037262257,8.809732687,2.549450436,8.671134073,0.7304608993,8.851143212,1.142712486,3.394066003,1.142823872,0.6417678962,0.05952344505,0.8854962378,0.5131656169,1.136515591,0.3498113256,1.523541375,0.7322297167,0.9253795113,0.4109785805,9.848948423,3.067615933,8.990165939,0.5501103805,16.24745249,1.033626339,2.816200315,2.000480705,2.214207391,3.242692943,1.984219395,3.603078594,1.984219395,2,1.09873283,1.121921212,0.8854962378,0.5131656169,1.136515591,0.3498113256,-24.12057757833130,0.31829,152424235536.05100,0.18743,89757373673.44900,157681392685.22800,157681392685.22800,14.18,1.0,0.4197,2.0,-1.0,21.959921907700200,20.29147674783230,19.47654091501070,19.08309302978310,18.743631786301700,21.89071864411740,19.80928203625770,18.260781519290900,17.97020495841170,20.610396675269600,18.31252124666870,-21.95345908498930,2.483380992689540,10.69,-0.72,-11.41,8.2,961.3334758498930,1998.2216094239600,2748.0837117126900,754.9704228695170,18.448836369340100,18.61364173211610,18.82615147047740,20.81144210962450,1.1329963527893400,0.022863834979538900,94.03286358851190,115.4853179000060
4,26829,3,aegis,1.235837542,0.1310486223,0.9842859848,0.5489962452,1.208585531,0.3870203739,3.327690125,0.438076231,2.996918968,0.6142544979,2.808246089,0.4304860546,1.496607523,0.5395803356,0.1730737103,0.09135722874,1.031422426,0.4804659631,0.5887024622,0.2844646083,1.422601788,0.541680904,0.4632099462,0.324299161,3.529193203,0.8119160064,2.554703411,1.118665914,4.275721068,0.6595471856,0.8361257687,0.848298302,0.731971359,1.037368701,0.9811698923,1.116250624,0.731971359,3,1.132149568,1.136807048,1.208585531,0.541680904,0.3870203739,0.324299161,-20.90502864573980,0.36965,9158032255.642570,0.18743,4643554675.165930,4643554675.165930,4643554675.165930,6.48,1.0,0.3996,3.0,-1.0,23.80926897627410,22.33771373201730,21.664554478843600,21.35525364537970,21.095642983659100,23.734089240984800,21.942065175730900,20.743357241932800,20.506820758152800,22.5964081078408,20.80308283396020,-19.65544552115640,2.1447144974304200,9.59,-99.0,-99.0,7.0,200.8401728144210,310.9844416843320,453.67530542844500,171.5690150612790,20.87814640746590,20.995919183787400,21.133803437508200,22.716961802821100,1.1460098631464600,0.027887179482641100,26.24087651831880,22.634044464406000
6,37275,11,aegis,2.668501211,0.4196539227,1.231177548,0.7270250382,2.000001518,0.4727481869,2.731612008,1.128758933,3.148202284,0.7348757593,2.262268415,0.746019093,3.283911394,1.215625742,0.3817410197,0.07564960719,1.596734632,0.6020908264,0.6280882887,0.2016228662,2.310543711,0.9727596262,0.4161193261,0.3328554616,3.393559479,1.233209646,3.053651287,1.108043262,2.420217079,0.8388609608,1.019897927,0.9299812752,0.762787603,1.193726609,1.073446447,0.8337182472,0.762787603,3,1.084933568,1.09903805,2.000001518,0.9727596262,0.4727481869,0.3328554616,-21.410990730097700,0.57182,22576448973.576400,0.39832,15726366960.153500,15726366960.153500,15726366960.153500,14.0,1.0,0.304,2.0,-1.0,23.244466662750800,21.57746158116840,20.821394436372800,20.45757987011840,20.12655792195200,23.170593073968300,21.11190101901600,19.728562073295900,19.444548940207300,21.889468059719500,19.761658105002300,-19.87860556362730,2.4230722263780900,9.95,-4.87,-14.83,8.2,267.950402406871,707.5495578736430,1075.0276419471900,364.52874346644600,19.844593680624300,19.925989709789600,20.08976219108510,21.742071977461500,1.1000967886415700,0.02033926737553440,26.460759636886700,39.302473803853000
7,21300,14,aegis,2.83934263,0.3705184251,1.609913426,0.5827892705,1.278100844,0.7177223363,4.960509085,1.858476877,4.362467194,1.745939678,3.968861904,1.01447457,4.050544969,1.061148134,0.2978182912,0.06235186337,1.753634299,0.6049565668,0.5473530725,0.2533358099,1.644594932,0.4930229992,0.5766574845,0.2331289498,5.058689826,2.121362343,4.251176227,1.849792132,9.798583544,1.05653892,1.769136644,1.604210097,1.210581058,1.902201501,1.627635957,2.360807104,1.210581058,3,1.094843885,1.107577584,1.278100844,0.4930229992,0.7177223363,0.2331289498,-21.991683248596900,0.36965,24915178903.585400,0.31652,21334106388.6456,21334106388.6456,21334106388.6456,12.65,1.0,0.2161,3.0,-1.0,21.791045949942100,20.272369601464700,19.59842356634280,19.303327451047400,19.007980922888700,21.710955671340100,19.85547352207290,18.589255294712300,18.36821682292930,20.557718825335700,18.649614450603100,-20.33157643365720,2.1926223835992600,10.0,-0.9,-10.9,8.4,987.9808929293020,2549.0739559102000,3171.305536138870,1800.8681977690800,18.555607771716600,18.66632485879890,18.790645311402200,20.170387999752400,1.1188048638065400,0.00973935095201021,86.40808320350370,117.28521700578200
8,10415,15,aegis,2.225592861,0.2318340106,1.021393025,0.5953078102,0.5708820836,1.19235573,1.698079483,1.444130423,2.022423568,0.666457379,2.095420494,0.6585505864,2.554888026,1.067749213,0.2299904143,0.05615450849,0.8971810278,0.536389428,0.6624977178,0.3628933885,0.609038661,0.2697095226,1.188181591,0.2862308832,1.766523077,1.822939378,2.443909535,0.5530528937,2.294704404,0.8894998748,0.9559732706,0.6817137439,0.6924591129,1.133534302,0.7143776716,0.8313064872,0.6817137439,2,1.103734996,1.111767106,1.021393025,0.536389428,0.5953078102,0.3628933885,-21.399638743321200,0.31829,12435936378.367900,0.18743,7323093893.611150,12864855517.16700,12864855517.16700,8.74,1.0,0.2479,1.0,0.2522,22.5389619064852,21.056606613633400,20.36346224778720,20.06279891709530,19.787844652378900,22.46023905526110,20.638915468622200,19.35126616190970,19.138164819098700,21.33460737646100,19.423711655478800,-19.876537752212800,2.1754996586979800,9.75,-0.6,-10.35,8.4,722.1150422660460,1549.6423288565600,1826.4276906647900,833.4249767157530,19.366110437525300,19.46598250666210,19.599393071551800,21.02067857554570,1.1220031281545200,0.01797514179348250,53.168675989753900,75.06015458819530
9,19787,16,aegis,2.109550404,0.7545070688,0.9568864104,1.157571179,3.375000063,0.5255712316,7.408891079,5.678646668,6.540645574,3.270451406,6.313764413,5.793623658,2.422651948,0.9994621975,0.7771828489,0.05178149381,0.9191762903,0.4423782634,1.22155437,0.2543681274,2.798906316,1.672448328,0.6510007455,0.2753472341,5.933841008,6.514683685,6.202837844,3.191861557,8.704837471,8.647777404,3.901172389,2.688263916,3.73838636,3.977303475,2.588589588,5.44038,2.588589588,2,1.137468046,1.164588904,0.9191762903,0.4423782634,1.22155437,0.2543681274,-23.57514653252420,0.41779,121064455681.61200,0.18743,54312240427.97710,95413104907.63260,95413104907.63260,9.36,1.0,0.4361,1.0,0.4625,22.74864933587340,21.077209249721600,20.254863553920400,19.85787121587190,19.51577657353900,22.684958491105500,20.584933203500300,19.003904268057800,18.71642991160090,21.397601419675400,19.102233445475800,-21.2651364460796,2.4937857819529700,10.63,-1.15,-11.78,8.6,867.4330825384070,1231.0142695917900,1756.64597845218,477.72665895391900,19.248012553071300,19.41799555679240,19.630908107948900,21.627710609412500,1.1784652733669800,0.01337955211198500,56.95344797885280,65.1766402633474
10,30005,19,aegis,1.305793478,0.2304279993,0.9730820523,0.6231446904,2.150009342,0.282832597,2.83743695,0.5871683217,2.179986808,0.5424757801,1.868414571,0.828145422,1.584130538,0.5883210315,0.2592781676,0.08659771835,1.086361093,0.450101081,0.6284760446,0.2062939541,2.533442252,0.9112865148,0.2114350703,0.197971478,3.04282272,0.900182655,1.866554238,0.8818218836,1.868483947,0.9411367932,0.805584963,0.6585437605,0.7219253215,0.9812047815,0.7448409614,0.7709376525,0.6585437605,2,1.141437491,1.149722901,0.9730820523,0.450101081,0.6231446904,0.2062939541,-20.777585744925600,0.40332,8885544710.041890,0.16994,3743948894.2391100,6854267470.3805900,6854267470.3805900,6.08,1.0,0.2776,1.0,0.3134,23.54421363900590,22.017606175288400,21.335777176855300,20.99725487438350,20.689179226145200,23.46600056181390,21.591694115788100,20.345738423771800,20.05086847230220,22.301449894125700,20.38321109277450,-19.164222823144700,2.208436462150650,9.67,-1.42,-11.09,8.6,416.08090734735800,556.5064434569550,788.7082914690940,377.4048595768270,20.401350448873700,20.50782764250160,20.621929301713000,22.090388766705600,1.1648315360050800,0.023242491804956600,29.512746591295600,28.453708149050100
