ID,region,field,M05_age_opt,M05_AV_opt,M13_age_opt,M13_AV_opt,BC_age_opt,BC_AV_opt,x2_spectra_M05_opt,x2_photo_M05_opt,x2_spectra_M13_opt,x2_photo_M13_opt,x2_spectra_BC_opt,x2_photo_BC_opt,M05_age_MCMC50,M05_age_std,M05_AV_MCMC50,M05_AV_std,M13_age_MCMC50,M13_age_std,M13_AV_MCMC50,M13_AV_std,BC_age_MCMC50,BC_age_std,BC_AV_MCMC50,BC_AV_std,x2_spectra_M05_MCMC50,x2_photo_M05_MCMC50,x2_spectra_M13_MCMC50,x2_photo_M13_MCMC50,x2_spectra_BC_MCMC50,x2_photo_BC_MCMC50,x2_M05_opt,x2_M13_opt,x2_BC_opt,x2_M05_MCMC50,x2_M13_MCMC50,x2_BC_MCMC50,min_chi2,model,grism_index,grism_index_AV_corr,age_opt,age_opt_std,AV_opt,AV_opt_std
26380,1,aegis,2.680621363,0.4187315595,1.073115954,0.7517556203,1.208604831,0.6280617842,14.4515701,2.093738766,15.24253781,0.9544739584,12.59579885,0.8510140921,3.387580625,1.232347443,0.3775348018,0.06453334052,1.034472917,0.6309493717,0.7669133072,0.4828924968,0.9123876468,0.6328542388,1.14278708,0.4408152805,15.96081966,2.11615743,15.24688494,0.997405559,19.36767601,2.737039042,3.714082748,3.373624995,2.81482959,4.016862798,3.393086443,4.947634448,2.81482959,3,1.099384731,1.114002854,1.208604831,0.6328542388,0.6280617842,0.4408152805
14044,2,aegis,0.5999999948,0.5118285328,0.9976939066,0.8260331268,1.608101456,0.7042503067,7.817164895,1.246790801,5.733327348,2.835803619,4.977061021,3.686970134,0.3633070013,0.278198086,0.7736279224,0.4474107157,0.6467999449,0.5052850339,1.078675105,0.4161426135,1.757464305,0.7345310009,0.6151992061,0.3627727524,6.991757693,3.832452076,6.324253089,1.539867289,7.565663844,3.496633331,2.058568603,2.343017498,2.565279171,3.019570848,1.895775828,2.985380685,1.895775828,2,1.11672446,1.134633613,0.6467999449,0.5052850339,1.078675105,0.4161426135
17857,3,aegis,1.073986748,0.07223350727,0.9940375232,0.5355671476,1.278102097,0.5396775929,8.255288448,0.3848338647,6.012426088,1.090749684,5.248563074,1.648940097,1.310379314,0.4711734803,0.1432530537,0.05447826185,0.963941934,0.4751391397,0.5771654653,0.2512792358,1.270619775,0.6930585739,0.496533337,0.4535931317,7.757341103,0.8792453671,6.120634138,1.554633878,6.257135869,1.939238133,1.769852353,1.640466443,1.734203551,1.887565761,1.862641719,2.055931062,1.640466443,2,1.043043079,1.045394111,0.9940375232,0.4751391397,0.5355671476,0.2512792358
19820,3,aegis,2.598997666,0.6730179072,1.022557547,1.044543604,1.414390349,1.037262257,8.809732687,2.549450436,8.671134073,0.7304608993,8.851143212,1.142712486,3.394066003,1.142823872,0.6417678962,0.05952344505,0.8854962378,0.5131656169,1.136515591,0.3498113256,1.523541375,0.7322297167,0.9253795113,0.4109785805,9.848948423,3.067615933,8.990165939,0.5501103805,16.24745249,1.033626339,2.816200315,2.000480705,2.214207391,3.242692943,1.984219395,3.603078594,1.984219395,2,1.09873283,1.121921212,0.8854962378,0.5131656169,1.136515591,0.3498113256
26829,3,aegis,1.235837542,0.1310486223,0.9842859848,0.5489962452,1.208585531,0.3870203739,3.327690125,0.438076231,2.996918968,0.6142544979,2.808246089,0.4304860546,1.496607523,0.5395803356,0.1730737103,0.09135722874,1.031422426,0.4804659631,0.5887024622,0.2844646083,1.422601788,0.541680904,0.4632099462,0.324299161,3.529193203,0.8119160064,2.554703411,1.118665914,4.275721068,0.6595471856,0.8361257687,0.848298302,0.731971359,1.037368701,0.9811698923,1.116250624,0.731971359,3,1.132149568,1.136807048,1.208585531,0.541680904,0.3870203739,0.324299161
14399,6,aegis,1.360939683,0.1267971413,0.8105206337,0.7016120264,1.27807651,0.4354119822,5.039151221,0.863398516,3.81147618,0.8181777114,3.513364263,0.9394964856,1.7043706,0.4985971988,0.1194760503,0.06702673293,1.030185306,0.3343394384,0.5411424728,0.2928989241,1.380655521,0.5706060832,0.4336575421,0.3474138126,4.662679946,1.940903437,3.658253629,1.210079621,5.572974115,1.644807917,1.352889892,1.094896327,1.089620567,1.747050131,1.235093165,1.79540406,1.089620567,3,,,1.27807651,0.5706060832,0.4354119822,0.3474138126
25411,8,aegis,1.417265428,0,0.4614325527,0.6157114744,1.356050617,0.2987378682,1.855293203,3.785249981,1.996567651,0.6662928313,1.932447204,3.041213743,,,,,0.5207677703,0.2269226169,0.5797645343,0.3631674146,1.105667713,0.4732111888,0.3295882128,0.2831713284,,,2.007348791,0.7131780971,1.72001211,3.787308307,2.00172985,0.6766218211,1.694058895,,0.6990471048,1.976354272,0.6766218211,2,1.087734043,1.087734043,0.4614325527,0.2269226169,0.6157114744,0.3631674146
27777,8,aegis,1.134011975,0.6580118979,0.57251103,1.441660864,1.208598313,0.9607032926,4.685190217,0.5570255182,5.003840929,0.7395800513,5.090240692,1.40052219,1.216837053,0.5231068304,0.7121545913,0.2831377797,0.6050550931,0.2858887908,1.423839084,0.4102137446,0.9033515479,0.6052354371,1.429328796,0.4960960005,3.873639976,1.293839008,4.882477418,0.8222888152,5.314794722,1.680397255,1.151300538,1.292339481,1.595734581,1.313238127,1.304640518,1.760705504,1.151300538,1,,,1.134011975,0.5231068304,0.6580118979,0.2831377797
28143,8,aegis,1.128256285,0.3780132202,0.6344597755,1.108214978,1.2085971,0.6793729248,3.877516915,0.4760676144,3.687888602,1.136063124,3.622832107,1.314728594,1.281765381,0.4513894102,0.4010344377,0.1462053844,0.6962765963,0.3112989379,1.073598335,0.3894931578,1.139431273,0.610993479,0.8375577826,0.465263303,3.512635238,1.017378494,3.449698119,1.392205647,3.376263824,3.848112723,0.9593632669,1.208750175,1.273596367,1.123252646,1.273576145,2.324324464,0.9593632669,1,,,1.128256285,0.4513894102,0.3780132202,0.1462053844
16150,9,aegis,1.290714377,0.3410400628,0.9964011825,0.758380189,2.150003704,0.3889071644,2.49431391,0.6143921409,1.895658751,0.719305667,1.906087124,1.181016793,1.611994694,0.5651223472,0.3301009529,0.1253455359,1.077754182,0.4590752868,0.7424986526,0.2464395228,2.27882409,0.9635427217,0.3494597315,0.2576758769,2.019000021,1.426692702,1.914559931,0.7928942924,1.823036683,1.37429999,0.750764776,0.6800169473,0.8822635244,1.010726047,0.7155988857,0.9499547436,0.6800169473,2,,,0.9964011825,0.4590752868,0.758380189,0.2464395228
37275,11,aegis,2.668501211,0.4196539227,1.231177548,0.7270250382,2.000001518,0.4727481869,2.731612008,1.128758933,3.148202284,0.7348757593,2.262268415,0.746019093,3.283911394,1.215625742,0.3817410197,0.07564960719,1.596734632,0.6020908264,0.6280882887,0.2016228662,2.310543711,0.9727596262,0.4161193261,0.3328554616,3.393559479,1.233209646,3.053651287,1.108043262,2.420217079,0.8388609608,1.019897927,0.9299812752,0.762787603,1.193726609,1.073446447,0.8337182472,0.762787603,3,1.084933568,1.09903805,2.000001518,0.9727596262,0.4727481869,0.3328554616
38278,11,aegis,1.331209776,0.4700598073,1.070354694,0.8705660945,1.356052746,0.8926511715,9.474351119,1.05206315,9.959810313,2.065580256,8.99929032,2.552334691,1.72968044,0.4719615727,0.4599522841,0.06062818613,1.310204256,0.4451810509,0.7856343414,0.2166655169,1.160586036,0.5797691814,0.8836522106,0.3877946837,7.747215039,3.139531237,8.014502605,3.324239995,15.4113972,3.21543019,2.295908428,2.829685405,2.854258383,2.865775541,2.997775241,4.386879936,2.295908428,1,,,1.331209776,0.4719615727,0.4700598073,0.06062818613
17442,14,aegis,1.400449641,0.2156743157,0.8317650263,0.7659226363,1.278099736,0.5370530448,3.868417182,0.5253291662,3.566413266,0.2477447549,3.567633618,0.5407856113,1.856773648,0.5631521406,0.2002089638,0.1093637852,1.075144207,0.3556402151,0.5999166469,0.2555638451,1.322710199,0.6115253485,0.5408078228,0.3957432952,3.513096924,1.13257936,3.411030656,0.439978981,3.184678849,1.113366223,0.9789586665,0.7999422763,0.9272567992,1.173299304,0.8531335262,1.101197002,0.7999422763,2,,,0.8317650263,0.3556402151,0.7659226363,0.2555638451
21300,14,aegis,2.83934263,0.3705184251,1.609913426,0.5827892705,1.278100844,0.7177223363,4.960509085,1.858476877,4.362467194,1.745939678,3.968861904,1.01447457,4.050544969,1.061148134,0.2978182912,0.06235186337,1.753634299,0.6049565668,0.5473530725,0.2533358099,1.644594932,0.4930229992,0.5766574845,0.2331289498,5.058689826,2.121362343,4.251176227,1.849792132,9.798583544,1.05653892,1.769136644,1.604210097,1.210581058,1.902201501,1.627635957,2.360807104,1.210581058,3,1.094843885,1.107577584,1.278100844,0.4930229992,0.7177223363,0.2331289498
10415,15,aegis,2.225592861,0.2318340106,1.021393025,0.5953078102,0.5708820836,1.19235573,1.698079483,1.444130423,2.022423568,0.666457379,2.095420494,0.6585505864,2.554888026,1.067749213,0.2299904143,0.05615450849,0.8971810278,0.536389428,0.6624977178,0.3628933885,0.609038661,0.2697095226,1.188181591,0.2862308832,1.766523077,1.822939378,2.443909535,0.5530528937,2.294704404,0.8894998748,0.9559732706,0.6817137439,0.6924591129,1.133534302,0.7143776716,0.8313064872,0.6817137439,2,1.103734996,1.111767106,1.021393025,0.536389428,0.5953078102,0.3628933885
19787,16,aegis,2.109550404,0.7545070688,0.9568864104,1.157571179,3.375000063,0.5255712316,7.408891079,5.678646668,6.540645574,3.270451406,6.313764413,5.793623658,2.422651948,0.9994621975,0.7771828489,0.05178149381,0.9191762903,0.4423782634,1.22155437,0.2543681274,2.798906316,1.672448328,0.6510007455,0.2753472341,5.933841008,6.514683685,6.202837844,3.191861557,8.704837471,8.647777404,3.901172389,2.688263916,3.73838636,3.977303475,2.588589588,5.44038,2.588589588,2,1.137468046,1.164588904,0.9191762903,0.4423782634,1.22155437,0.2543681274
20244,16,aegis,1.174115213,0.4270980546,0.6335149104,1.154656557,1.52150154,0.7117984828,3.225341244,0.673582103,3.319417303,0.5468913379,3.764313605,2.2080842,1.307421648,0.4795039319,0.4646984001,0.1421031949,0.7167132889,0.3034999544,1.110811667,0.372581793,1.267411203,0.7633436746,0.804451782,0.4903931443,2.789562325,1.262628035,2.96761741,0.9513928635,2.931106005,2.189257427,0.9183796377,0.881707213,1.688473362,1.089202932,0.9888091845,1.518521223,0.881707213,2,,,0.6335149104,0.3034999544,1.154656557,0.372581793
33787,17,aegis,1.36038572,0.5106084153,1.107471771,0.8817906379,1.433999897,0.8735394152,5.060449724,0.9292554222,4.88998868,0.9678906805,4.24768552,1.185808694,1.780482611,0.5142693236,0.5191014895,0.05567047022,1.345646241,0.4779287427,0.8138771309,0.1993591532,1.494999863,0.6197422095,0.7870547825,0.3284985294,4.399004596,2.165267796,3.676543617,1.910990421,3.946150158,2.005270336,1.38558446,1.36923946,1.339020839,1.79314694,1.54259553,1.635830926,1.339020839,3,,,1.433999897,0.6197422095,0.8735394152,0.3284985294
30005,19,aegis,1.305793478,0.2304279993,0.9730820523,0.6231446904,2.150009342,0.282832597,2.83743695,0.5871683217,2.179986808,0.5424757801,1.868414571,0.828145422,1.584130538,0.5883210315,0.2592781676,0.08659771835,1.086361093,0.450101081,0.6284760446,0.2062939541,2.533442252,0.9112865148,0.2114350703,0.197971478,3.04282272,0.900182655,1.866554238,0.8818218836,1.868483947,0.9411367932,0.805584963,0.6585437605,0.7219253215,0.9812047815,0.7448409614,0.7709376525,0.6585437605,2,1.141437491,1.149722901,0.9730820523,0.450101081,0.6231446904,0.2062939541
30483,19,aegis,1.419890828,0.2217939184,0.9936811558,0.6339321141,1.356058499,0.6099024087,7.852606142,0.8256003796,4.451076578,0.5965582926,4.221421735,1.095717248,1.822953925,0.5215556473,0.1796794016,0.08170231389,1.197067654,0.3956835696,0.5361505133,0.207620861,1.518848553,0.6390827021,0.4615469835,0.3739114429,7.918698003,1.243122874,4.470204515,0.8746595355,4.893586477,1.14463405,1.882800606,1.12298502,1.294852798,2.076693168,1.24729816,1.446583061,1.12298502,2,,,0.9936811558,0.3956835696,0.6339321141,0.207620861
34526,23,aegis,1.143900968,0.2449662583,0.5762336457,1.024358329,3.375020817,4.01E-18,1.69468014,0.3137085109,1.593180515,0.3569141253,1.901033038,3.399636987,1.331823963,0.4841656342,0.2634310271,0.1577151201,0.6317107292,0.294492827,0.9921413166,0.4515288356,,,,,1.619221442,0.682682273,1.554583954,0.4249709092,,,0.4651042224,0.4641317302,1.843389779,0.610458016,0.486150168,,0.4641317302,2,,,0.5762336457,0.294492827,1.024358329,0.4515288356
35066,23,aegis,1.333045027,0.1168629422,0.997920773,0.5326412137,1.139100911,0.4494426053,6.125164954,0.8764457883,4.697006251,0.9815531962,4.546582407,0.9515724939,1.723936636,0.5369857109,0.1177102601,0.06542982544,1.198198823,0.4346207455,0.4696703867,0.2143064869,1.371794085,0.5167155151,0.4242552031,0.3416392153,5.416824291,1.857348478,4.043351113,1.465391933,7.119549482,1.695167395,1.569424313,1.337691912,1.295482227,1.857252207,1.420585903,2.117548413,1.295482227,3,,,1.139100911,0.5167155151,0.4494426053,0.3416392153
37372,23,aegis,1.226063424,0.4089538151,0.7264038722,1.050234113,1.208598493,0.6872188339,2.975833308,0.7675874924,2.790696575,0.8323767166,3.083579947,1.018024268,1.452944207,0.4869686644,0.4062756827,0.1036143556,0.8627012461,0.2998136729,0.9417141595,0.2359113504,1.391939441,0.5710266013,0.7177673536,0.3741754685,3.061391073,1.586173549,2.666039762,1.145296504,4.298312821,2.130406264,0.9106970582,0.9028441122,1.04022098,1.282291161,1.014336992,1.758477389,0.9028441122,2,,,0.7264038722,0.2998136729,1.050234113,0.2359113504
33787,27,aegis,1.385159542,0.4621513156,1.119034762,0.8256821204,1.356092493,0.874244554,4.264311372,0.669033181,3.485993436,0.5771422853,2.679768887,0.8335614336,1.861368487,0.5070407205,0.4550904652,0.05216136075,1.347512022,0.4410484835,0.7520087339,0.1717423449,1.522868475,0.5879926992,0.7270148794,0.3221342944,3.966149886,1.643876094,2.774864354,1.2280923,4.544818843,0.8554302129,1.118148764,0.9271704573,0.8818185094,1.48299527,1.071372489,1.253447558,0.8818185094,3,,,1.356092493,0.5879926992,0.874244554,0.3221342944
38071,27,aegis,1.251098964,0.4161054028,0.7206314689,1.057154423,1.522805854,0.7275488745,4.494713195,0.64629466,4.12975492,0.7494756297,3.96925468,1.552786183,1.458632882,0.5109057518,0.449465615,0.1228712084,0.8043746046,0.3967161868,1.003571316,0.5013155368,1.558620082,0.7269465547,0.6789236718,0.4288845226,4.250732078,1.34931604,4.019338336,0.9027383288,4.809542676,1.274903939,1.153026392,1.126905274,1.44409688,1.410517584,1.171927736,1.486755589,1.126905274,2,,,0.7206314689,0.3967161868,1.057154423,0.5013155368
11221,28,aegis,2.071778497,0.5966040753,1.089748993,0.975309287,2.000122816,0.6628657543,9.046754089,1.924769591,6.00950743,0.9069291849,6.895391746,1.351446863,2.141466781,0.9492645501,0.6044978819,0.04264510396,0.9713775354,0.6164796792,1.009720487,0.483882495,2.147183447,0.8563193961,0.6312721139,0.2271432937,8.968376887,2.004947414,6.811186629,0.7530952515,8.437825557,1.36909526,2.5913302,1.560185707,1.924967767,2.610880546,1.649141279,2.23212273,1.560185707,2,1.138950911,1.160331902,1.089748993,0.6164796792,0.975309287,0.483882495
12772,28,aegis,1.353073821,0.4307995174,1.10829059,0.8058569137,2.87500565,0.2878300842,4.809497492,0.9089653544,3.285021803,1.110320417,3.929363746,2.373012643,1.809618511,0.5378314495,0.4287327846,0.06184929815,1.378903838,0.466254931,0.7181788203,0.1792345909,2.836138053,1.356001139,0.3182364563,0.2145794248,4.139966893,1.727977073,2.506835123,1.803367599,9.291548082,3.018712431,1.328057056,1.119360253,1.792043375,1.553216647,1.268796885,3.113252798,1.119360253,2,,,1.10829059,0.466254931,0.8058569137,0.1792345909
